ActivityID;ActivityArea;ActivityParent;ActivityLevel;ActivityName_[ENG];ActivityName_[HRV];ActivityName_[BIH];ActivityName_[SRB];ActivityName_[SVN]
013;A;01;3;Plant propagation;Uzgoj sadnog materijala i ukrasnog bilja;Uzgoj sadnog materijala i ukrasnog bilja;Gajenje sadnog materijala;Razmnoževanje rastlin
014;A;01;3;Animal production;Uzgoj stoke, peradi i ostalih životinja;Uzgoj životinja;Uzgoj životinja;Živinoreja
015;A;01;3;Mixed farming;Mješovita proizvodnja;Mješovita poljoprivredna proizvodnja (biljna i stoèna proizvodnja);Mešovita poljoprivredna proizvodnja;Mešano kmetijstvo
016;A;01;3;Support activities to agriculture and post-harvest crop activities;Pomoæne djelatnosti u poljoprivredi i djelat. koje se obavljaju nakon žetve usjeva;Pomoæne djelatnosti u poljoprivredi i djelatnosti koje se obavljaju nakon žetve usjeva;Uslužne delatnosti u poljoprivredi i delatnosti posle žetve;Storitve za kmetijsko proizvodnjo, priprava pridelkov
017;A;01;3;Hunting, trapping and related service activities;Lov, stupièarenje i uslužne djelatnosti povezane s njima;Lov, stupièarenje i uslužne djelatnosti u vezi s njima;Lov, traperstvo i odgovarajuæe uslužne delatnosti;Lovstvo
021;A;02;3;Silviculture and other forestry activities;Uzgoj šuma i ostale djelatnosti u šumarstvu povezane s njime;Uzgoj šuma i ostale djelatnosti u šumarstvu;Gajenje šuma i ostale šumarske delatnosti;Gojenje gozdov in druge gozdarske dejavnosti
022;A;02;3;Logging;Sjeèa drva;Sjeèa drva (iskorištavanje šuma);Seèa drveæa;Seènja
023;A;02;3;Gathering of wild growing non-wood products;Skupljanje šumskih  plodova i  proizvoda, osim šumskih sortimenata;Sakupljanje nekultiviranih šumskih plodova i proizvoda, osim šumskih sortimenata;Sakupljanje šumskih plodova;Nabiranje gozdnih dobrin, razen lesa
024;A;02;3;Support services to forestry;Pomoæne usluge u šumarstvu;Pomoæne usluge u šumarstvu;Uslužne delatnosti u vezi sa šumarstvom;Storitve za gozdarstvo
031;A;03;3;Fishing;Ribolov;Ribolov;Ribolov;Ribištvo
032;A;03;3;Aquaculture;Akvakultura;Akvakultura;Akvakulture;Gojenje vodnih organizmov
051;B;05;3;Mining of hard coal;Vaðenje kamenog ugljena;Vaðenje kamenog ugljena;Eksploatacija kamenog uglja i antracita;Pridobivanje èrnega premoga
052;B;05;3;Mining of lignite;Vaðenje lignita;Vaðenje lignita;Eksploatacija lignita i mrkog uglja;Pridobivanje rjavega premoga in lignita
061;B;06;3;Extraction of crude petroleum;Vaðenje sirove nafte;Vaðenje sirove nafte;Eksploatacija sirove nafte;Pridobivanje surove nafte
062;B;06;3;Extraction of natural gas;Vaðenje prirodnog plina;Vaðenje prirodnog plina;Vaðenje prirodnog gasa;Pridobivanje zemeljskega plina
071;B;07;3;Mining of iron ores;Vaðenje željeznih ruda;Vaðenje željeznih ruda;Eksploatacija ruda gvožða;Pridobivanje železove rude
072;B;07;3;Mining of non-ferrous metal ores;Vaðenje ruda obojenih metala;Vaðenje ruda obojenih metala;Eksploatacija ostalih ruda metala;Pridobivanje rud neželeznih kovin
081;B;08;3;Quarrying of stone, sand and clay;Vaðenje kamena, pijeska i gline;Vaðenje kamena, pijeska i gline;Eksploatacija kamena, peska, gline i drugih sirovina za graðevinske materijale;Pridobivanje kamna, peska in gline
089;B;08;3;Mining and quarrying n.e.c.;Rudarstvo i vaðenje, d. n.;Vaðenje ruda i kamena d. n.;Eksploatacija ostalih ruda i kamena;Pridobivanje drugih rudnin in kamnin
091;B;09;3;Support activities for petroleum and natural gas extraction;Pomoæne djelatnosti za vaðenje nafte i prirodnog plina;Pomoæne djelatnosti za vaðenje nafte i prirodnog plina;Uslužne delatnosti u vezi sa istraživanjem i eksploatacijom nafte i gasa;Storitve za pridobivanje nafte in zemeljskega plina
099;B;09;3;Support activities for other mining and quarrying;Pomoæne djelatnosti za ostalo rudarstvo i vaðenje;Pomoæne djelatnosti za ostalo vaðenje ruda i kamena;Uslužne delatnosti u vezi sa istraživanjem i eksploatacijom ostalih ruda;Storitve za drugo rudarjenje
101;C;10;3;Processing and preserving of meat and production of meat products;Prerada i konzerviranje mesa i proizvodnja mesnih proizvoda;Prerada i konzerviranje mesa i proizvodnja mesnih proizvoda;Prerada i konzervisanje mesa i proizvoda od mesa;Proizvodnja mesa in mesnih izdelkov
102;C;10;3;Processing and preserving of fish, crustaceans and molluscs;Prerada i konzerviranje riba, rakova i školjki;Prerada i konzerviranje riba, ljuskara i mekušaca;Prerada i konzervisanje ribe, ljuskara i mekušaca;Predelava in konzerviranje rib, rakov in mehkužcev
103;C;10;3;Processing and preserving of fruit and vegetables;Prerada i konzerviranje voæa i povræa;Prerada i konzerviranje voæa i povræa;Prerada i konzervisanje voæa i povræa;Predelava in konzerviranje sadja in zelenjave
104;C;10;3;Manufacture of vegetable and animal oils and fats;Proizvodnja biljnih i životinjskih ulja i masti;Proizvodnja biljnih i životinjskih ulja i masti;Proizvodnja biljnih i životinjskih ulja i masti;Proizvodnja rastlinskih in živalskih olj in mašèob
105;C;10;3;Manufacture of dairy products;Proizvodnja mlijeènih proizvoda;Proizvodnja mlijeènih proizvoda;Proizvodnja mleènih proizvoda;Predelava mleka
106;C;10;3;Manufacture of grain mill products, starches and starch products;Proizvodnja mlinskih proizvoda, škroba i škrobnih proizvoda;Proizvodnja mlinskih proizvoda, škroba i škrobnih proizvoda;Proizvodnja mlinskih proizvoda, skroba i skrobnih proizvoda;Mlinarstvo, proizvodnja škroba in škrobnih izdelkov
107;C;10;3;Manufacture of bakery and farinaceous products;Proizvodnja pekarskih i brašneno-konditorskih proizvoda;Proizvodnja pekarskih proizvoda, proizvoda od brašna i kolaèa;Proizvodnja pekarskih proizvoda i testenine;Proizvodnja pekarskih izdelkov in testenin
108;C;10;3;Manufacture of other food products;Proizvodnja ostalih prehrambenih proizvoda;Proizvodnja ostalih prehrambenih proizvoda;Proizvodnja ostalih prehrambenih proizvoda;Proizvodnja drugih prehrambenih izdelkov
109;C;10;3;Manufacture of prepared animal feeds;Proizvodnja pripremljene hrane za životinje;Proizvodnja pripremljene hrane za životinje;Proizvodnja gotove hrane za životinje;Proizvodnja krmil in hrane za hišne živali
110;C;11;3;Manufacture of beverages;Proizvodnja piæa;Proizvodnja piæa;Proizvodnja piæa;Proizvodnja pijaè
120;C;12;3;Manufacture of tobacco products;Proizvodnja duhanskih proizvoda;Proizvodnja duhanskih proizvoda;Proizvodnja duvanskih proizvoda;Proizvodnja tobaènih izdelkov
131;C;13;3;Preparation and spinning of textile fibres;Priprema i predenje tekstilnih vlakana;Priprema i predenje tekstilnih vlakana;Priprema i predenje tekstilnih vlakana;Priprava in predenje tekstilnih vlaken
132;C;13;3;Weaving of textiles;Tkanje tekstila;Tkanje tekstila;Proizvodnja tkanina;Tkanje tekstilij
133;C;13;3;Finishing of textiles;Dovršavanje tekstila;Dovršavanje tekstila;Dovršavanje tekstila;Dodelava tekstilij
139;C;13;3;Manufacture of other textiles;Proizvodnja ostalog tekstila;Proizvodnja ostalog tekstila;Proizvodnja ostalog tekstila;Proizvodnja drugih tekstilij
141;C;14;3;Manufacture of wearing apparel, except fur apparel;Proizvodnja odjeæe, osim krznene odjeæe;Proizvodnja odjeæe, osim krznene odjeæe;Proizvodnja odeæe, osim krznene;Proizvodnja oblaèil, razen krznenih
142;C;14;3;Manufacture of articles of fur;Proizvodnja proizvoda od krzna;Proizvodnja proizvoda od krzna;Proizvodnja proizvoda od krzna;Proizvodnja krznenih izdelkov
143;C;14;3;Manufacture of knitted and crocheted apparel;Proizvodnja pletene i kukièane odjeæe;Proizvodnja pletene i heklane odjeæe;Proizvodnja pletene i kukièane odeæe;Proizvodnja pletenih in kvaèkanih oblaèil
151;C;15;3;"Tanning and dressing of leather;manufacture of luggage, handbags, saddleryand harness; dressing and dyeing of fur";"Štavljenje i obrada kože; pr. putnih i ruè. torba, sedl. i rem. pr.; dorada i bojenje krzna";"Štavljenje i obrada kože; proizvodnja putnih i ruènih torbi, sedlarskih i kaišarskih proizvoda; dorada i bojenje krzna";"Štavljenje i dorada kože; proizvodnja putnièkih i ruènih torbi i kaiševa; dorada i bojenje krzna";Strojenje in dodelava usnja in krzna, proizvodnja potovalne galanterije in sedlarskih izdelkov
152;C;15;3;Manufacture of footwear;Proizvodnja obuæe;Proizvodnja obuæe;Proizvodnja obuæe;Proizvodnja obutve
161;C;16;3;Sawmilling and planing of wood;Piljenje i blanjanje drva;"Piljenje i blanjanje drva  (proizvodnja  rezane graðe); impregnacija drveta";Rezanje i obrada drveta;Žaganje, skobljanje in impregniranje lesa
162;C;16;3;Manufacture of products of wood, cork, straw and plaiting materials;Proizvodnja proizvoda od drva, pluta, slame i pletarskih materijala;Proizvodnja proizvoda od drva, pluta, slame i pletarskih materijala;Proizvodnja proizvoda od drveta, plute, pruæa i slame;Proizvodnja lesenih, plutovinastih, pletarskih izdelkov
171;C;17;3;Manufacture of pulp, paper and paperboard;Proizvodnja celuloze, papira i kartona;Proizvodnja celuloze, papira i kartona;Proizvodnja celuloze, papira i kartona;Proizvodnja vlaknin, papirja in kartona
172;C;17;3;Manufacture of articles of paper and paperboard;Proizvodnja proizvoda od papira i kartona;Proizvodnja proizvoda od papira i kartona;Proizvodnja predmeta od papira i kartona;Proizvodnja izdelkov iz papirja in kartona
181;C;18;3;Printing and service activities related to printing;Tiskanje i uslužne djelatnosti povezane s tiskanjem;Štampanje i uslužne djelatnosti u vezi sa štampanjem;Štampanje i štamparske usluge;Tiskarstvo in z njim povezane storitve
182;C;18;3;Reproduction of recorded media;Umnožavanje snimljenih zapisa;Umnožavanje snimljenih zapisa;Umnožavanje snimljenih zapisa;Razmnoževanje posnetih nosilcev zapisa
191;C;19;3;Manufacture of coke oven products;Proizvodnja proizvoda koksnih peæi;Proizvodnja proizvoda koksnih peæi;Proizvodnja produkata koksovanja;Proizvodnja koksa
192;C;19;3;Manufacture of refined petroleum products;Proizvodnja rafiniranih naftnih proizvoda;Proizvodnja rafiniranih naftnih proizvoda;Proizvodnja derivata nafte;Proizvodnja naftnih derivatov
201;C;20;3;Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms;Proizvodnja osnovnih kemikalija, gnojiva i dušiènih sp., plastike i sint. kauèuka;Proizvodnja osnovnih hemikalija, gnojiva i dušiènih spojeva, plastike i sintetièkog kauèuka u primarnim oblicima;Proizvodnja osnovnih hemikalija, veštaèkih ðubriva i azotnih jedinjenja, plastiènih i sintetièkih masa;Proizvodnja osnovnih kemikalij, gnojil in dušikovih spojin, plastiènih mas in sintetiènega kavèuka v primarni obliki
202;C;20;3;Manufacture of pesticides and other agrochemical products;Proizvodnja pesticida i drugih agrokemijskih proizvoda;Proizvodnja pesticida i drugih agrohemijskih proizvoda;Proizvodnja pesticida i hemikalija za poljoprivredu;Proizvodnja razkužil, pesticidov in drugih agrokemiènih izdelkov
203;C;20;3;Manufacture of paints, varnishes and similar coatings, printing ink and mastics;Proizvodnja boja, lakova i sliènih premaza, grafièkih boja i kitova;Proizvodnja boja, lakova i sliènih premaza, grafièkih boja i kitova;Proizvodnja boja, lakova i sliènih premaza, grafièkih boja i kitova;Proizvodnja barv, lakov in podobnih premazov, tiskarskih barv in kitov
204;C;20;3;Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations;Proizvodnja sapuna i deterdženata, sr. za èišæenje i polir., parfema i toaletno-kozm. pr.;Proizvodnja sapuna i deterdženata, sredstava za èišæenje i poliranje, parfema i toaletno-kozmetièkih preparata;Proizvodnja deterdženata, sapuna drugih sredstava za èišæenje, poliranje, parfema i toaletnih preparata;Proizvodnja mil in pralnih sredstev, èistilnih in polirnih sredstev, parfumov in toaletnih sredstev
205;C;20;3;Manufacture of other chemical products;Proizvodnja ostalih kemijskih proizvoda;Proizvodnja ostalih hemijskih proizvoda;Proizvodnja ostalih hemijskih proizvoda;Proizvodnja razstreliv, lepil, eteriènih olj in drugih kemiènih izdelkov
206;C;20;3;Manufacture of man-made fibres;Proizvodnja umjetnih vlakana;Proizvodnja umjetnih vlakana;Proizvodnja veštaèkih vlakana;Proizvodnja umetnih vlaken
211;C;21;3;Manufacture of basic pharmaceutical products;Proizvodnja osnovnih farmaceutskih proizvoda;Proizvodnja osnovnih farmaceutskih proizvoda;Proizvodnja osnovnih farmaceutskih proizvoda;Proizvodnja farmacevtskih surovin
212;C;21;3;Manufacture of pharmaceutical preparations;Proizvodnja farmaceutskih pripravaka;Proizvodnja farmaceutskih preparata;Proizvodnja farmaceutskih preparata;Proizvodnja farmacevtskih preparatov
221;C;22;3;Manufacture of rubber products;Proizvodnja proizvoda od gume;Proizvodnja proizvoda od gume;Proizvodnja proizvoda od gume;Proizvodnja izdelkov iz gume
222;C;22;3;Manufacture of plastics products;Proizvodnja proizvoda od plastike;Proizvodnja proizvoda od plastiènih masa;Proizvodnja proizvoda od plastike;Proizvodnja plastiènih izdelkov
231;C;23;3;Manufacture of glass and glass products;Proizvodnja stakla i proizvoda od stakla;Proizvodnja stakla i proizvoda od stakla;Proizvodnja stakla i proizvoda od stakla;Proizvodnja stekla in steklenih izdelkov
232;C;23;3;Manufacture of refractoryproducts;Proizvodnja vatrostalnih proizvoda;Proizvodnja vatrostalnih proizvoda;Proizvodnja vatrostalnih proizvoda;Proizvodnja ognjevzdržne keramike
233;C;23;3;Manufacture of clay building materials;Proizvodnja proizvoda od gline za graðevinarstvo;Proizvodnja proizvoda od gline za graðevinarstvo;Proizvodnja graðevinskih materijala od gline;Proizvodnja neognjevzdržne gradbene keramike
234;C;23;3;Manufacture of other porcelain and ceramic products;Proizvodnja ostalih proizvoda od porculana i keramike;Proizvodnja ostalih proizvoda od porculana i keramike;Proizvodnja ostalih keramièkih i porcelanskih proizvoda;Proizvodnja drugih izdelkov iz keramike in porcelana
235;C;23;3;Manufacture of cement, lime and plaster;Proizvodnja cementa, vapna i gipsa ;Proizvodnja cementa, kreèa i gipsa;Proizvodnja cementa, kreèa i gipsa;Proizvodnja cementa, apna, mavca
236;C;23;3;Manufacture of articles of concrete, cement and plaster;Proizvodnja proizvoda od betona, cementa i gipsa ;Proizvodnja proizvoda od betona, cementa i gipsa;Proizvodnja proizvoda od betona, cementa i gipsa;Proizvodnja izdelkov iz betona, cementa, mavca
237;C;23;3;Cutting, shaping and finishing of stone;Rezanje, oblikovanje i obrada kamena;Rezanje, oblikovanje i obrada kamena;Seèenje, oblikovanje i obrada kamena;Obdelava naravnega kamna
239;C;23;3;Manufacture of abrasive products and non-metallic mineral products n.e.c.;Proizvodnja brusnih proizvoda i nemetalnih mineralnih proizvoda, d. n. ;Proizvodnja brusnih proizvoda i nemetalnih mineralnih proizvoda, d. n.;Proizvodnja brusnih i ostalih nemetalnih mineralnih proizvoda;Proizvodnja brusilnih sredstev in drugih nekovinskih mineralnih izdelkov
241;C;24;3;Manufacture of basic iron and steel and of ferro-alloys;Proizvodnja sirovog željeza, èelika i ferolegura;Proizvodnja sirovog željeza, èelika i ferolegura;Proizvodnja sirovog gvožða, èelika i ferolegura;Proizvodnja surovega železa, jekla, ferozlitin
242;C;24;3;Manufacture of tubes, pipes, hollow profiles and related fittings, of steel;Proizvodnja èeliènih cijevi i pribora;Proizvodnja cijevi, crijeva, šupljih profila i  pripadajuæeg pribora od èelika;Proizvodnja èeliènih cevi, šupljih profila i fitinga;Proizvodnja jeklenih cevi, votlih profilov in fitingov
243;C;24;3;Manufacture of other products of first processing of steel;Proizvodnja ostalih proizvoda primarne prerade èelika;Proizvodnja ostalih proizvoda primarne prerade èelika;Proizvodnja ostalih proizvoda primarne prerade èelika;Druga primarna predelava železa in jekla
244;C;24;3;Manufacture of basic precious and other non-ferrous metals;Proizvodnja plemenitih i ostalih obojenih metala;Proizvodnja baznih plemenitih i ostalih obojenih metala;Proizvodnja plemenitih i ostalih obojenih metala;Proizvodnja plemenitih in drugih neželeznih kovin
245;C;24;3;Casting of metals;Lijevanje metala;Lijevanje metala;Livenje metala;Livarstvo
251;C;25;3;Manufacture of structural metal products;Proizvodnja metalnih konstrukcija;Proizvodnja metalnih konstrukcija;Proizvodnja metalnih konstrukcija;Proizvodnja gradbenih kovinskih izdelkov
252;C;25;3;Manufacture of tanks, reservoirs and containers of metal;Proizvodnja metalnih cisterni, rezervoara i sliènih posuda ;Proizvodnja metalnih cisterni, rezervoara i sliènih posuda;Proizvodnja metalnih cisterni, rezervoara i kontejnera;Proizvodnja kotlov za centralno ogrevanje, kovinskih rezervoarjev in cistern
253;C;25;3;Manufacture of steam generators, except central heating hot water boilers;Proizvodnja parnih kotlova, osim kotlova za centralno grijanje toplom vodom;Proizvodnja parnih kotlova, osim kotlova za centralno grijanje;Proizvodnja parnih kotlova, osim kotlova za centralno grejanje;Proizvodnja parnih kotlov, razen kotlov za centralno ogrevanje
254;C;25;3;Manufacture of weapons and ammunition;Proizvodnja oružja i streljiva;Proizvodnja oružja i municije;Proizvodnja oružja i municije;Proizvodnja orožja in streliva
255;C;25;3;"Forging, pressing, stampingand roll-forming of metal; powder metallurgy";"Kovanje, prešanje, štancanje i valjanje metala; metalurgija praha";"Kovanje, presovanje, štancanje i valjanje metala; metalurgija praha";"Kovanje, presovanje, štancovanje i valjanje metala; metalurgija praha";Kovanje, stiskanje, vtiskovanje in valjanje kovin, prašna metalurgija
256;C;25;3;"Treatment and coating of metals; machining";"Obrada i prevlaèenje metala; strojna obrada metala";"Površinska  obrada  i  prevlaèenje  metala;  mašinska obrada metala";"Obrada i prevlaèenje metala; mašinska obrada metala";Površinska obdelava in prekrivanje kovin, mehanska obdelava kovin
257;C;25;3;Manufacture of cutlery, tools and general hardware;Proizvodnja sjeèiva, alata i opæe željezne robe;Proizvodnja  sjeèiva, alata  i  metalnih  proizvoda za opæu namjenu;Proizvodnja seèiva, alata i metalne robe opšte namene;Proizvodnja jedilnega pribora, kljuèavnic, okovja, orodja
259;C;25;3;Manufacture of other fabricated metal products;Proizvodnja ostalih gotovih proizvoda od metala;Proizvodnja ostalih gotovih proizvoda od metala;Proizvodnja ostalih metalnih proizvoda;Proizvodnja drugih kovinskih izdelkov
261;C;26;3;Manufacture of electronic components and boards;Proizvodnja elektronièkih komponenata i ploèa;Proizvodnja elektronièkih komponenata i ploèa;Proizvodnja elektronskih elemenata i ploèa;Proizvodnja elektronskih komponent in plošè
262;C;26;3;Manufacture of computers and peripheral equipment;Proizvodnja raèunala i periferne opreme;Proizvodnja raèunara i periferne opreme;Proizvodnja raèunara i periferne opreme;Proizvodnja raèunalnikov in perifernih naprav
263;C;26;3;Manufacture of communication equipment;Proizvodnja komunikacijske opreme;Proizvodnja komunikacijske opreme;Proizvodnja komunikacione opreme;Proizvodnja komunikacijskih naprav
264;C;26;3;Manufacture of consumer electronics;Proizvodnja elektronièkih ureðaja za široku potrošnju;Proizvodnja elektronièkih ureðaja za široku potrošnju;Proizvodnja elektronskih ureðaja za široku potrošnju;Proizvodnja elektronskih naprav za široko rabo
265;C;26;3;"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks";"Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navigaciju; pr. satova ";"Proizvodnja instrumenata i aparata za mjerenje, ispitivanje i navoðenje; proizvodnja satova";"Proizvodnja mernih, istraživaèkih i navigacionih instrumenata i aparata; proizvodnja satova";Proizvodnja merilnih, preizkuševalnih, navigacijskih instrumentov in naprav, proizvodnja ur
